VHT: Vanguard Healthcare ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	7058752
Shares Outstanding: 45880000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Health Care 25/50 Index
ETFdb.com Category: Health & Biotech Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VHT


Holding,Symbol,Weighting
TESARO Inc,TSRO,0.0641%
Teladoc Inc,TDOC,0.064%
Horizon Pharma PLC,HZNP,0.064%
Supernus Pharmaceuticals Inc,SUPN,0.0637%
ACADIA Pharmaceuticals Inc,ACAD,0.0635%
Ultragenyx Pharmaceutical Inc,RARE,0.0623%
Inogen Inc,INGN,0.0613%
Halyard Health Inc,HYH,0.0612%
Merit Medical Systems Inc,MMSI,0.0609%
Global Blood Therapeutics Inc,GBT,0.06%
Allscripts Healthcare Solutions Inc,MDRX,0.0593%
Puma Biotechnology Inc,PBYI,0.0593%
Syneos Health Inc,SYNH,0.0592%
Nevro Corp,NVRO,0.057%
Myriad Genetics Inc,MYGN,0.0566%
Portola Pharmaceuticals Inc,PTLA,0.056%
Spark Therapeutics Inc,ONCE,0.0552%
Ironwood Pharmaceuticals Inc,IRWD,0.0548%
Wright Medical Group NV,WMGI,0.0542%
Select Medical Holdings Corp,SEM,0.0541%
LifePoint Health Inc,LPNT,0.0538%
Patterson Companies Inc,PDCO,0.0534%
Emergent BioSolutions Inc,EBS,0.052%
Sangamo Therapeutics Inc,SGMO,0.0519%
Immunomedics Inc,IMMU,0.0511%
Premier Inc,PINC,0.0505%
Amedisys Inc,AMED,0.0505%
Prestige Brands Holdings Inc,PBH,0.0493%
Spectrum Pharmaceuticals Inc,SPPI,0.049%
Akorn Inc,AKRX,0.0488%
Cambrex Corp,CBM,0.0478%
Arena Pharmaceuticals Inc,ARNA,0.0467%
Aerie Pharmaceuticals Inc,AERI,0.0464%
Abaxis Inc,ABAX,0.0461%
Heron Therapeutics Inc,HRTX,0.0456%
NxStage Medical Inc,NXTM,0.0456%
Conmed Corp,CNMD,0.0451%
Integer Holdings Corp,ITGR,0.0449%
Omnicell Inc,OMCL,0.0447%
Insmed Inc,INSM,0.0443%
Acceleron Pharma Inc,XLRN,0.0428%
ImmunoGen Inc,IMGN,0.0427%
Quidel Corp,QDEL,0.042%
Prothena Corporation PLC,PRTA,0.0416%
Esperion Therapeutics Inc,ESPR,0.041%
Corcept Therapeutics Inc,CORT,0.0403%
Cotiviti Holdings Inc,COTV,0.04%
Tivity Health Inc,TVTY,0.0397%
HMS Holdings Corp,HMSY,0.0395%
Impax Laboratories Inc,IPXL,0.0392%
Varex Imaging Corp,VREX,0.038%
Zogenix Inc,ZGNX,0.0375%
Mallinckrodt Plc,MNK,0.0374%
Ensign Group Inc,ENSG,0.0373%
Pacira Pharmaceuticals Inc,PCRX,0.0368%
Brookdale Senior Living Inc,BKD,0.0359%
Repligen Corp,RGEN,0.0356%
PTC Therapeutics Inc,PTCT,0.0356%
AnaptysBio Inc,ANAB,0.0352%
Innoviva Inc,INVA,0.0343%
Momenta Pharmaceuticals Inc,MNTA,0.0342%
Xencor Inc,XNCR,0.0339%
Atara Biotherapeutics Inc,ATRA,0.0337%
AxoGen Inc,AXGN,0.0323%
Radius Health Inc,RDUS,0.0323%
Enanta Pharmaceuticals Inc,ENTA,0.0321%
Foundation Medicine Inc,FMI,0.032%
Theravance Biopharma Inc,TBPH,0.0318%
Atrion Corp,ATRI,0.0318%
Analogic Corp,ALOG,0.0316%
Dynavax Technologies Corp,DVAX,0.0314%
Aimmune Therapeutics Inc,AIMT,0.0313%
OPKO Health Inc,OPK,0.0309%
Intercept Pharmaceuticals Inc,ICPT,0.0306%
MyoKardia Inc,MYOK,0.0305%
Natus Medical Inc,BABY,0.0303%
Acorda Therapeutics Inc,ACOR,0.0303%
Orthofix International NV,OFIX,0.0293%
Cash Component,CASH,0.029%
Intersect ENT Inc,XENT,0.0286%
OraSure Technologies Inc,OSUR,0.0285%
BioTelemetry Inc,BEAT,0.0282%
CRISPR Therapeutics AG,CRSP,0.0281%
LHC Group Inc,LHCG,0.0281%
U.S. Physical Therapy Inc,USPH,0.0277%
MacroGenics Inc,MGNX,0.0275%
Novocure Ltd,NVCR,0.0274%
Diplomat Pharmacy Inc,DPLO,0.0274%
Editas Medicine Inc,EDIT,0.0271%
Intrexon Corp,XON,0.0268%
Assembly Biosciences Inc,ASMB,0.0264%
Intra-Cellular Therapies Inc,ITCI,0.0263%
Owens & Minor Inc,OMI,0.026%
Epizyme Inc,EPZM,0.0256%
Geron Corp,GERN,0.0253%
TherapeuticsMD Inc,TXMD,0.0242%
Retrophin Inc,RTRX,0.0241%
Vanda Pharmaceuticals Inc,VNDA,0.0241%
TG Therapeutics Inc,TGTX,0.0238%
G1 Therapeutics Inc,GTHX,0.0236%
Revance Therapeutics Inc,RVNC,0.0234%
Luminex Corp,LMNX,0.0234%
Evolent Health Inc,EVH,0.0232%
Kindred Healthcare Inc,KND,0.0223%
Regenxbio Inc,RGNX,0.0217%
Accelerate Diagnostics Inc,AXDX,0.0216%
Phibro Animal Health Corp,PAHC,0.0215%
Providence Service Corp,PRSC,0.0213%
Cardiovascular Systems Inc,CSII,0.0211%
Anika Therapeutics Inc,ANIK,0.0211%
Audentes Therapeutics Inc,BOLD,0.0201%
MiMedx Group Inc,MDXG,0.0199%
Cerus Corp,CERS,0.0198%
Almost Family Inc,AFAM,0.0196%
Flexion Therapeutics Inc,FLXN,0.0195%
AMAG Pharmaceuticals Inc,AMAG,0.0194%
Alder Biopharmaceuticals Inc,ALDR,0.0194%
Amphastar Pharmaceuticals Inc,AMPH,0.0193%
HealthStream Inc,HSTM,0.0187%
AtriCure Inc,ATRC,0.0186%
CytomX Therapeutics Inc,CTMX,0.0184%
Genomic Health Inc,GHDX,0.0182%
K2M Group Holdings Inc,KTWO,0.0181%
CymaBay Therapeutics Inc,CBAY,0.0181%
Omeros Corp,OMER,0.0179%
Quality Systems Inc,QSII,0.0179%
Novavax Inc,NVAX,0.0177%
National Healthcare Corp,NHC,0.0174%
Meridian Bioscience Inc,VIVO,0.0173%
Vocera Communications Inc,VCRA,0.0173%
Inovalon Holdings Inc,INOV,0.0172%
CryoLife Inc,CRY,0.0167%
Triple-S Management Corp,GTS,0.0165%
iRhythm Technologies Inc,IRTC,0.0164%
AngioDynamics Inc,ANGO,0.0162%
Invacare Corp,IVC,0.016%
Five Prime Therapeutics Inc,FPRX,0.0159%
Collegium Pharmaceutical Inc,COLL,0.0155%
La Jolla Pharmaceutical Co,LJPC,0.0151%
Progenics Pharmaceuticals Inc,PGNX,0.015%
CorVel Corp,CRVL,0.0149%
ZIOPHARM Oncology Inc,ZIOP,0.0146%
Arrowhead Pharmaceuticals Inc,ARWR,0.0145%
BioCryst Pharmaceuticals Inc,BCRX,0.0145%
Heska Corp,HSKA,0.0145%
Uniqure NV,QURE,0.0141%
ANI Pharmaceuticals Inc,ANIP,0.014%
Adamas Pharmaceuticals Inc,ADMS,0.0139%
Community Health Systems Inc,CYH,0.0139%
Karyopharm Therapeutics Inc,KPTI,0.0139%
Intellia Therapeutics Inc,NTLA,0.0138%
Neogenomics Inc,NEO,0.0137%
Tabula Rasa HealthCare Inc,TRHC,0.0136%
Glaukos Corp,GKOS,0.0134%
Sorrento Therapeutics Inc,SRNE,0.0132%
Synergy Pharmaceuticals Inc,SGYP,0.0129%
STAAR Surgical Co,STAA,0.0128%
Agenus Inc,AGEN,0.0128%
Kura Oncology Inc,KURA,0.0127%
WAVE Life Sciences Ltd,WVE,0.0126%
Lannett Company Inc,LCI,0.0125%
Biohaven Pharmaceutical Holding Company Ltd,BHVN,0.0125%
Eagle Pharmaceuticals Inc,EGRX,0.0125%
Lantheus Holdings Inc,LNTH,0.0123%
Tactile Systems Technology Inc,TCMD,0.0123%
Aclaris Therapeutics Inc,ACRS,0.0122%
PDL BioPharma Inc,PDLI,0.012%
Abeona Therapeutics Inc,ABEO,0.0119%
Achillion Pharmaceuticals Inc,ACHN,0.0118%
Coherus BioSciences Inc,CHRS,0.0118%
Accuray Inc,ARAY,0.0117%
Inovio Pharmaceuticals Inc,INO,0.0115%
Cross Country Healthcare Inc,CCRN,0.0114%
Lexicon Pharmaceuticals Inc,LXRX,0.0107%
Keryx Biopharmaceuticals Inc,KERX,0.0103%
GlycoMimetics Inc,GLYC,0.0103%
Cytokinetics Inc,CYTK,0.0101%
Dova Pharmaceuticals Inc,DOVA,0.0101%
Depomed Inc,DEPO,0.0101%
Achaogen Inc,AKAO,0.0099%
Jounce Therapeutics Inc,JNCE,0.0096%
Voyager Therapeutics Inc,VYGR,0.0093%
Computer Programs and Systems Inc,CPSI,0.0093%
Surgery Partners Inc,SGRY,0.0091%
Cara Therapeutics Inc,CARA,0.009%
Endologix Inc,ELGX,0.009%
Celldex Therapeutics Inc,CLDX,0.009%
Corium International Inc,CORI,0.0087%
Medpace Holdings Inc,MEDP,0.0085%
Aduro Biotech Inc,ADRO,0.0085%
Clearside Biomedical Inc,CLSD,0.0084%
GenMark Diagnostics Inc,GNMK,0.0079%
Corbus Pharmaceuticals Holdings Inc,CRBP,0.0078%
Capital Senior Living Corp,CSU,0.0078%
Reata Pharmaceuticals Inc,RETA,0.0077%
American Renal Associates Holdings Inc,ARA,0.0074%
Rockwell Medical Inc,RMTI,0.0073%
Syros Pharmaceuticals Inc,SYRS,0.0073%
Dermira Inc,DERM,0.0073%
Natera Inc,NTRA,0.0073%
Pacific Biosciences of California Inc,PACB,0.0071%
Castlight Health Inc,CSLT,0.0068%
Quorum Health Corp,QHC,0.0067%
Civitas Solutions Inc,CIVI,0.0063%
Aceto Corp,ACET,0.0061%
Ocular Therapeutix Inc,OCUL,0.0059%
NewLink Genetics Corp,NLNK,0.0058%
MannKind Corp,MNKD,0.0055%
Minerva Neurosciences Inc,NERV,0.0053%
Bellicum Pharmaceuticals Inc,BLCM,0.0052%
Seres Therapeutics Inc,MCRB,0.0048%
Ardelyx Inc,ARDX,0.0048%
ViewRay Inc,VRAY,0.0048%
Corvus Pharmaceuticals Inc,CRVS,0.0043%
AAC Holdings Inc,AAC,0.0041%
Aratana Therapeutics Inc,PETX,0.0041%
Teligent Inc,TLGT,0.004%
Mersana Therapeutics Inc,MRSN,0.0038%
Immune Design Corp,IMDZ,0.0035%
INSYS Therapeutics Inc,INSY,0.0035%
Ra Pharmaceuticals Inc,RARX,0.0031%
Organovo Holdings Inc,ONVO,0.0029%
Merrimack Pharmaceuticals Inc,MACK,0.0029%
Otonomy Inc,OTIC,0.0028%
Advaxis Inc,ADXS,0.0027%
NantKwest Inc,NK,0.0025%
Genesis Healthcare Inc,GEN,0.0025%
Infinity Pharmaceuticals Inc,INFI,0.0023%
"Melinta Therapeutics, Inc.",MLNT,0.0022%
XBiotech Inc,XBIT,0.0021%
ConforMIS Inc,CFMS,0.0021%
Regulus Therapeutics Inc,RGLS,0.0021%
Trevena Inc,TRVN,0.002%
OncoMed Pharmaceuticals Inc,OMED,0.0017%
Pulse Biosciences Inc,PLSE,0.0017%
Axovant Sciences Ltd,AXON,0.0013%
Versartis Inc,VSAR,0.0012%
